CareerDetailId|EnrollmentId|Discount|Total|LastModified|Created|Status
1|1|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
1|21|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
2|1|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
2|21|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
3|1|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
3|21|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
4|1|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
4|21|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
5|1|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
5|21|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
6|1|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
6|21|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
7|1|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
7|21|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
8|2|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
8|22|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
9|2|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
9|22|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
10|2|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
10|22|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
11|2|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
11|22|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
12|2|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
12|22|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
13|2|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
13|22|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
14|2|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
14|22|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
15|3|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
15|23|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
16|3|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
16|23|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
17|3|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
17|23|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
18|3|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
18|23|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
19|3|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
19|23|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
20|3|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
20|23|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
21|3|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
21|23|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
22|4|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
22|24|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
23|4|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
23|24|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
24|4|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
24|24|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
25|4|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
25|24|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
26|4|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
26|24|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
27|4|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
27|24|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
28|4|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
28|24|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
29|5|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
29|25|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
30|5|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
30|25|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
31|5|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
31|25|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
32|5|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
32|25|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
33|5|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
33|25|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
34|5|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
34|25|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
35|5|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
35|25|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
36|6|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
36|26|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
37|6|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
37|26|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
38|6|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
38|26|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
39|6|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
39|26|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
40|6|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
40|26|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
41|6|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
41|26|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
42|7|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
42|27|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
43|7|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
43|27|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
44|7|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
44|27|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
45|7|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
45|27|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
46|7|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
46|27|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
47|7|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
47|27|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
48|8|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
48|28|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
49|8|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
49|28|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
50|8|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
50|28|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
51|8|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
51|28|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
52|8|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
52|28|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
53|8|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
53|28|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
54|9|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
54|29|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
55|9|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
55|29|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
56|9|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
56|29|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
57|9|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
57|29|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
58|9|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
58|29|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
59|9|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
59|29|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
60|10|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
60|30|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
61|10|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
61|30|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
62|10|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
62|30|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
63|10|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
63|30|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
64|10|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
64|30|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
65|10|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
65|30|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
66|11|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
66|31|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
67|11|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
67|31|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
68|11|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
68|31|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
69|11|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
69|31|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
70|11|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
70|31|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
71|11|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
71|31|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
72|12|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
72|32|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
73|12|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
73|32|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
74|12|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
74|32|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
75|12|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
75|32|.00|30.00|2018-07-06 02:48:19|2018-07-06 02:48:19|1
